Share of Expenditure Components in GDP,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
GFCE,11.1,10.6,10,10,10,9.8,10.2,10.3,10.3,10.8,9.9,10,9.6
PFCE,56.2,56.2,56.7,56.2,56.1,56.1,55.8,56.1,56.8,57.1,58.1,58,55.6
GFCF,34.3,34.1,32.6,31.1,30.7,30.8,31.1,32.4,31.6,31.2,33.4,33.3,34.1
CIS,2.4,2.2,1.3,2.6,2.1,1,1.6,1.9,0.7,0.2,1.1,1.1,1.1
Valuables,2.9,2.8,1.5,1.8,1.6,1.2,1.6,1.4,1.1,1.6,1.9,1.4,1.5
Exports of goods and services,24.5,24.9,25.2,23.9,20.8,20.2,19.8,20.8,19.4,19.1,22.6,23.9,22.6
Imports of goods and services,31.1,31.3,27,25.3,22.1,21.3,23.4,23.9,22.9,21.2,23.6,24.4,25.1
Discrepancies,-0.3,0.5,-0.3,-0.2,0.7,2.3,3.4,1.1,3,1.3,-3.3,-3.4,0.7
GDP,100,100,100,100,100,100,100,100,100,100,100,100,100
