Share of Expenditure Components in GDP,2011-12 Q1,2011-12 Q2,2011-12 Q3,2011-12 Q4,2012-13 Q1,2012-13 Q2,2012-13 Q3,2012-13 Q4,2013-14 Q1,2013-14 Q2,2013-14 Q3,2013-14 Q4,2014-15 Q1,2014-15 Q2,2014-15 Q3,2014-15 Q4,2015-16 Q1,2015-16 Q2,2015-16 Q3,2015-16 Q4,2016-17 Q1,2016-17 Q2,2016-17 Q3,2016-17 Q4,2017-18 Q1,2017-18 Q2,2017-18 Q3,2017-18 Q4,2018-19 Q1,2018-19 Q2,2018-19 Q3,2018-19 Q4,2019-20 Q1,2019-20 Q2,2019-20 Q3,2019-20 Q4,2020-21 Q1,2020-21 Q2,2020-21 Q3,2020-21 Q4,2021-22 Q1,2021-22 Q2,2021-22 Q3,2021-22 Q4,2022-23 Q1,2022-23 Q2,2022-23 Q3,2022-23 Q4,2023-24 Q1,2023-24 Q2,2023-24 Q3
GFCE,"1,95,528","2,55,853","2,23,408","2,93,586","2,40,745","3,10,870","2,09,687","3,01,103","3,08,485","3,31,309","2,37,025","2,79,689","3,37,037","3,84,487","3,13,547","2,66,691","3,63,606","4,25,667","3,49,865","2,97,034","3,89,046","4,55,122","3,84,784","3,57,705","4,84,811","5,04,290","4,44,759","4,06,258","5,44,125","5,70,240","4,76,810","4,54,378","5,49,731","6,19,770","5,23,917","5,18,515","6,24,721","4,82,238","5,26,601","6,71,988","6,13,197","5,38,201","5,59,596","7,61,159","7,34,534","6,01,413","6,35,136","9,12,565","7,54,304","7,17,078","6,40,558"
PFCE,"11,96,398","11,19,459","12,81,386","13,13,205","12,88,287","13,23,175","15,08,201","14,94,822","14,80,173","15,15,621","17,52,701","17,27,154","17,15,731","17,58,329","18,54,293","19,18,984","19,14,898","19,30,422","20,96,441","21,84,647","21,20,871","21,99,049","24,09,748","23,96,863","23,58,855","23,76,307","26,20,784","26,80,205","26,40,304","27,05,685","29,25,858","29,33,446","29,33,338","29,59,217","32,42,428","31,10,371","23,43,105","28,69,937","34,70,422","34,47,015","29,56,253","34,47,855","40,46,863","39,31,733","38,44,545","40,51,141","43,78,042","41,48,807","41,39,836","43,14,947","47,98,661"
GFCF,"6,82,095","7,22,664","7,56,940","8,36,034","7,95,727","8,09,693","8,15,439","9,04,113","8,47,938","8,55,856","8,75,621","9,36,206","9,28,906","9,44,024","9,09,481","9,67,981","9,61,035","9,60,324","9,91,938","10,43,796","10,85,915","10,45,064","10,70,570","11,37,122","11,25,165","11,41,095","12,09,889","13,39,453","13,36,612","13,44,943","14,22,243","14,64,624","14,96,472","13,55,341","13,95,223","14,73,351","8,39,843","13,10,425","14,94,965","17,79,764","15,36,714","16,65,536","17,21,373","20,56,023","20,40,363","19,72,286","19,76,141","22,98,189","22,16,311","22,24,177","22,16,643"
CIS,"51,754","48,668","49,375","58,187","51,094","54,003","51,525","57,902","34,870","35,820","35,128","38,803","78,435","79,320","72,448","82,494","64,910","65,316","61,887","70,364","34,081","34,072","32,836","37,094","54,474","59,108","57,885","66,114","76,507","79,712","77,518","84,497","33,911","33,548","32,454","35,318","6,374","9,924","10,131","12,031","48,279","53,299","51,859","60,399","68,385","66,677","64,364","77,694","69,154","73,917","70,455"
Valuables,"55,260","65,318","62,021","70,434","68,570","67,458","69,906","67,841","38,190","40,720","35,542","47,309","53,195","48,592","45,802","61,818","46,212","52,177","51,419","53,698","38,439","44,547","43,233","41,107","81,416","58,761","54,465","47,043","53,630","59,785","59,677","53,012","48,202","53,711","49,821","43,067","4,581","70,900","68,212","1,35,128","30,537","1,82,900","1,01,740","69,838","50,516","1,59,132","68,251","57,831","44,474","1,67,190","1,20,600"
Exports of goods and services,"4,93,075","5,03,937","5,57,993","5,88,926","5,55,655","6,94,342","5,66,043","6,23,666","6,16,226","7,47,413","7,26,998","7,66,144","7,06,896","7,27,108","7,32,620","6,97,013","6,71,294","6,87,101","6,77,377","6,92,876","7,04,795","7,20,886","7,43,329","7,79,762","7,58,515","7,84,765","8,17,205","8,51,035","8,70,374","9,24,645","9,83,152","9,88,123","9,30,665","9,27,287","9,63,770","9,30,466","7,49,914","9,29,566","9,59,785","10,69,972","11,23,062","12,19,943","13,06,147","14,00,492","15,28,756","15,24,345","15,47,370","16,51,979","15,19,015","15,79,063","16,12,560"
Imports of goods and services,"6,26,235","6,36,896","7,19,822","7,32,601","7,15,867","8,03,997","7,98,750","7,89,814","7,68,365","8,27,690","7,83,769","8,11,987","8,00,617","8,40,839","8,36,454","7,58,052","7,57,978","7,95,277","7,58,572","7,33,097","7,60,292","8,00,974","8,47,860","8,11,466","9,12,523","8,77,555","9,70,030","9,91,281","10,57,122","11,39,191","11,88,200","10,92,657","11,17,375","10,60,389","10,66,234","10,26,234","6,72,880","8,78,955","10,38,457","11,97,001","11,61,467","13,61,899","15,46,648","15,99,008","17,71,718","18,70,032","18,11,479","17,59,798","16,92,244","17,49,759","18,26,807"
Discrepancies,"-4,379","-49,534","33,551","-9,260","28,993","-98,592","1,26,326","65,845","7,857","-12,847","41,824","77,556","-1,05,190","-47,039","93,180","77,738","-20,434","30,155","6,278","86,497","26,920","56,349","38,366","1,84,584","58,203","1,10,475","1,04,236","1,85,859","1,04,938","1,10,197","1,15,940","-84,139","76,434","-20,347","-6,035","63,879","-1,716","-65,754","-17,487","-1,61,196","31,594","-1,18,521","27,391","-1,57,044","4,183","-36,157",289,"-2,64,102","-1,151","-2,35,394","-83,612"
GDP,"20,43,496","20,29,469","22,44,852","24,18,511","23,13,203","23,56,953","25,48,378","27,25,479","25,65,374","26,86,203","29,21,070","30,60,874","29,14,393","30,53,982","31,84,917","33,14,667","32,43,543","33,55,884","34,76,632","36,95,814","36,39,775","37,54,117","38,75,007","41,22,771","40,08,916","41,57,246","43,39,194","45,84,686","45,69,369","46,56,017","48,72,998","48,01,284","49,51,378","48,68,137","51,35,345","51,48,733","38,93,943","47,28,281","54,74,171","57,57,701","51,78,170","56,27,315","62,68,323","65,23,591","64,99,562","64,68,804","68,58,115","71,23,165","70,49,699","70,91,219","75,49,059"
