Share of Expenditure Components in GDP,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
GFCE,11.1,10.7,10.3,10.4,10.4,10.3,10.8,10.8,11,11.6,10.5,10.7,10.5
PFCE,56.2,56.5,57.6,58.1,59,59.3,58.7,59.3,60.9,61.1,61,60.9,60.3
GFCF,34.3,33.4,31.3,30.1,28.7,28.2,28.2,29.5,28.5,27.3,29.6,30.7,31.3
CIS,2.4,2.2,1.3,2.5,1.9,0.9,1.4,1.7,0.7,0.2,0.9,1,1
Valuables,2.9,2.8,1.4,1.7,1.5,1.1,1.4,1.2,1,1.4,1.6,1.2,1.4
Exports of goods and services,24.5,24.5,25.4,23,19.8,19.2,18.8,19.9,18.7,18.7,21.4,23.2,21.9
Imports of goods and services,31.1,31.3,28.4,26,22.1,20.9,22,23.7,21.2,19.1,24,26.8,24
Discrepancies,-0.3,1.2,1,0.1,0.7,2,2.7,1.3,0.6,-1.2,-0.9,-1.1,-2.5
GDP,100,100,100,100,100,100,100,100,100,100,100,100,100
