srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
HIMACHAL PRADESH,2015-16,2011-12,Current Price,89867.8566,2015,"Financial Year (Apr - Mar), 2015"
HARYANA,2015-16,2011-12,Constant Price,326703.0,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2011-12,2011-12,Current Price,10021.47,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,2011-12,Current Price,310346.52,2011,"Financial Year (Apr - Mar), 2011"
ARUNACHAL PRADESH,2012-13,2011-12,Current Price,11474.15,2012,"Financial Year (Apr - Mar), 2012"
ANDHRA PRADESH,2012-13,2011-12,Current Price,338269.06,2012,"Financial Year (Apr - Mar), 2012"
ANDHRA PRADESH,2013-14,2011-12,Current Price,375613.64,2013,"Financial Year (Apr - Mar), 2013"
ARUNACHAL PRADESH,2013-14,2011-12,Current Price,13072.86,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2014-15,2011-12,Current Price,433666.81,2014,"Financial Year (Apr - Mar), 2014"
ARUNACHAL PRADESH,2014-15,2011-12,Current Price,16073.91,2014,"Financial Year (Apr - Mar), 2014"
ANDHRA PRADESH,2015-16,2011-12,Constant Price,398843.66,2015,"Financial Year (Apr - Mar), 2015"
GUJARAT,2015-16,2011-12,Constant Price,672945.1898,2015,"Financial Year (Apr - Mar), 2015"
GOA,2015-16,2011-12,Constant Price,37364.2121,2015,"Financial Year (Apr - Mar), 2015"
BIHAR,2015-16,2011-12,Constant Price,258801.0111,2015,"Financial Year (Apr - Mar), 2015"
JAMMU & KASHMIR,2015-16,2011-12,Current Price,91854.7524,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2015-16,2011-12,Constant Price,12414.4,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2015-16,2011-12,Constant Price,157193.363,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2015-16,2011-12,Current Price,453142.0,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2015-16,2011-12,Current Price,16995.61,2015,"Financial Year (Apr - Mar), 2015"
MAHARASHTRA,2015-16,2011-12,Current Price,1489570.604,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2015-16,2011-12,Current Price,16432.46,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2015-16,2011-12,Current Price,189201.77,2015,"Financial Year (Apr - Mar), 2015"
SIKKIM,2015-16,2011-12,Current Price,14952.01,2015,"Financial Year (Apr - Mar), 2015"
TELANGANA,2015-16,2011-12,Constant Price,376192.3724,2015,"Financial Year (Apr - Mar), 2015"
WEST BENGAL,2015-16,2011-12,Constant Price,524366.0,2015,"Financial Year (Apr - Mar), 2015"
UTTARAKHAND,2015-16,2011-12,Constant Price,125752.6044,2015,"Financial Year (Apr - Mar), 2015"
NAGALAND,2015-16,2011-12,Current Price,16876.4994,2015,"Financial Year (Apr - Mar), 2015"
TAMIL NADU,2015-16,2011-12,Current Price,956998.11,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2015-16,2011-12,Constant Price,735381.76,2015,"Financial Year (Apr - Mar), 2015"
TRIPURA,2015-16,2011-12,Constant Price,22830.76,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2015-16,2011-12,Current Price,188524.4071,2015,"Financial Year (Apr - Mar), 2015"
TRIPURA,2015-16,2011-12,Current Price,31261.87,2015,"Financial Year (Apr - Mar), 2015"
TAMIL NADU,2015-16,2011-12,Constant Price,773945.99,2015,"Financial Year (Apr - Mar), 2015"
SIKKIM,2015-16,2011-12,Constant Price,11853.79,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2015-16,2011-12,Constant Price,467478.86,2015,"Financial Year (Apr - Mar), 2015"
BIHAR,2015-16,2011-12,Current Price,332672.1902,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2015-16,2011-12,Current Price,313078.76,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2015-16,2011-12,Current Price,929229.04,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2015-16,2011-12,Current Price,453053.7419,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2015-16,2011-12,Constant Price,270051.67,2015,"Financial Year (Apr - Mar), 2015"
ORISSA,2015-16,2011-12,Constant Price,235604.4353,2015,"Financial Year (Apr - Mar), 2015"
ANDAMAN & NICOBAR ISLANDS,2015-16,2011-12,Constant Price,4479.1736,2015,"Financial Year (Apr - Mar), 2015"
UTTARAKHAND,2015-16,2011-12,Current Price,144709.2403,2015,"Financial Year (Apr - Mar), 2015"
NAGALAND,2015-16,2011-12,Constant Price,12387.1086,2015,"Financial Year (Apr - Mar), 2015"
PUDUCHERRY,2015-16,2011-12,Constant Price,14560.915,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2015-16,2011-12,Constant Price,10623.2635,2015,"Financial Year (Apr - Mar), 2015"
GOA,2015-16,2011-12,Current Price,44849.0831,2015,"Financial Year (Apr - Mar), 2015"
WEST BENGAL,2015-16,2011-12,Current Price,678855.0,2015,"Financial Year (Apr - Mar), 2015"
MEGHALAYA,2015-16,2011-12,Constant Price,16449.8499,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2015-16,2011-12,Constant Price,14189.97,2015,"Financial Year (Apr - Mar), 2015"
MAHARASHTRA,2015-16,2011-12,Constant Price,1266714.707,2015,"Financial Year (Apr - Mar), 2015"
ANDAMAN & NICOBAR ISLANDS,2015-16,2011-12,Current Price,5354.4129,2015,"Financial Year (Apr - Mar), 2015"
GUJARAT,2015-16,2011-12,Current Price,780239.713,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2015-16,2011-12,Current Price,848367.0098,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2015-16,2011-12,Constant Price,158440.0,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2015-16,2011-12,Current Price,13270.6734,2015,"Financial Year (Apr - Mar), 2015"
CHANDIGARH,2015-16,2011-12,Current Price,25384.16,2015,"Financial Year (Apr - Mar), 2015"
MEGHALAYA,2015-16,2011-12,Current Price,20271.0674,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2015-16,2011-12,Constant Price,341878.0,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2015-16,2011-12,Current Price,497019.24,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2015-16,2011-12,Constant Price,366420.1994,2015,"Financial Year (Apr - Mar), 2015"
DELHI,2015-16,2011-12,Current Price,428501.4924,2015,"Financial Year (Apr - Mar), 2015"
CHANDIGARH,2015-16,2011-12,Constant Price,21653.57,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2015-16,2011-12,Constant Price,673936.1616,2015,"Financial Year (Apr - Mar), 2015"
HARYANA,2015-16,2011-12,Current Price,389889.8182,2015,"Financial Year (Apr - Mar), 2015"
JHARKHAND,2015-16,2011-12,Constant Price,141091.17,2015,"Financial Year (Apr - Mar), 2015"
ORISSA,2015-16,2011-12,Current Price,259935.5102,2015,"Financial Year (Apr - Mar), 2015"
PUDUCHERRY,2015-16,2011-12,Current Price,20862.1638,2015,"Financial Year (Apr - Mar), 2015"
JAMMU & KASHMIR,2015-16,2011-12,Constant Price,74991.1403,2015,"Financial Year (Apr - Mar), 2015"
DELHI,2015-16,2011-12,Constant Price,367024.5367,2015,"Financial Year (Apr - Mar), 2015"
HIMACHAL PRADESH,2015-16,2011-12,Constant Price,76214.5115,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2015-16,2011-12,Current Price,572190.92,2015,"Financial Year (Apr - Mar), 2015"
TELANGANA,2015-16,2011-12,Current Price,475427.8113,2015,"Financial Year (Apr - Mar), 2015"
ANDAMAN & NICOBAR ISLANDS,2016-17,2011-12,Constant Price,5045.0485,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2016-17,2011-12,Current Price,343397.8387,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2016-17,2011-12,Current Price,644011.0,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2016-17,2011-12,Current Price,17072.1709,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2016-17,2011-12,Current Price,548462.57,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2016-17,2011-12,Current Price,1053133.541,2016,"Financial Year (Apr - Mar), 2016"
TRIPURA,2016-17,2011-12,Current Price,33918.05,2016,"Financial Year (Apr - Mar), 2016"
UTTAR PRADESH,2016-17,2011-12,Current Price,1053820.0,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2016-17,2011-12,Current Price,505952.5476,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2016-17,2011-12,Current Price,159891.3152,2016,"Financial Year (Apr - Mar), 2016"
WEST BENGAL,2016-17,2011-12,Current Price,740846.16,2016,"Financial Year (Apr - Mar), 2016"
ANDAMAN & NICOBAR ISLANDS,2016-17,2011-12,Current Price,6006.1989,2016,"Financial Year (Apr - Mar), 2016"
CHANDIGARH,2016-17,2011-12,Current Price,28249.5157,2016,"Financial Year (Apr - Mar), 2016"
CHANDIGARH,2016-17,2011-12,Constant Price,23466.4301,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2016-17,2011-12,Current Price,978423.0,2016,"Financial Year (Apr - Mar), 2016"
DELHI,2016-17,2011-12,Current Price,473635.9298,2016,"Financial Year (Apr - Mar), 2016"
PUDUCHERRY,2016-17,2011-12,Current Price,23241.7349,2016,"Financial Year (Apr - Mar), 2016"
TELANGANA,2016-17,2011-12,Current Price,539672.53,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2016-17,2011-12,Current Price,192412.01,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2016-17,2011-12,Constant Price,425080.5526,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2016-17,2011-12,Constant Price,12552.92,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2016-17,2011-12,Constant Price,164674.0165,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2016-17,2011-12,Constant Price,277408.0,2016,"Financial Year (Apr - Mar), 2016"
JAMMU & KASHMIR,2016-17,2011-12,Current Price,97927.1244,2016,"Financial Year (Apr - Mar), 2016"
GOA,2016-17,2011-12,Constant Price,42030.1551,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2016-17,2011-12,Constant Price,728886.5718,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2016-17,2011-12,Constant Price,358956.0,2016,"Financial Year (Apr - Mar), 2016"
DELHI,2016-17,2011-12,Constant Price,387816.951,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2016-17,2011-12,Current Price,100220.07,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2016-17,2011-12,Constant Price,83374.46,2016,"Financial Year (Apr - Mar), 2016"
JAMMU & KASHMIR,2016-17,2011-12,Constant Price,77104.6714,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2016-17,2011-12,Constant Price,155809.53,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2016-17,2011-12,Constant Price,754816.0,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2016-17,2011-12,Current Price,437300.0,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2016-17,2011-12,Constant Price,393684.8307,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2016-17,2011-12,Constant Price,386272.95,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2016-17,2011-12,Constant Price,168494.0,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2016-17,2011-12,Current Price,888683.1309,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2016-17,2011-12,Constant Price,1388893.606,2016,"Financial Year (Apr - Mar), 2016"
MANIPUR,2016-17,2011-12,Constant Price,14462.05,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2016-17,2011-12,Constant Price,17077.5155,2016,"Financial Year (Apr - Mar), 2016"
PUDUCHERRY,2016-17,2011-12,Constant Price,15634.3701,2016,"Financial Year (Apr - Mar), 2016"
MIZORAM,2016-17,2011-12,Constant Price,11528.4028,2016,"Financial Year (Apr - Mar), 2016"
GOA,2016-17,2011-12,Current Price,51291.2136,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2016-17,2011-12,Constant Price,13088.8838,2016,"Financial Year (Apr - Mar), 2016"
ORISSA,2016-17,2011-12,Constant Price,266980.0,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2016-17,2011-12,Constant Price,287907.9024,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2016-17,2011-12,Current Price,552435.7454,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2016-17,2011-12,Current Price,374284.6599,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2016-17,2011-12,Constant Price,496002.0,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2016-17,2011-12,Constant Price,12603.8244,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2016-17,2011-12,Constant Price,824823.2041,2016,"Financial Year (Apr - Mar), 2016"
TRIPURA,2016-17,2011-12,Constant Price,25559.03,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2016-17,2011-12,Current Price,205329.5579,2016,"Financial Year (Apr - Mar), 2016"
UTTAR PRADESH,2016-17,2011-12,Constant Price,829267.0,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2016-17,2011-12,Constant Price,137862.2393,2016,"Financial Year (Apr - Mar), 2016"
WEST BENGAL,2016-17,2011-12,Constant Price,563988.8,2016,"Financial Year (Apr - Mar), 2016"
TELANGANA,2016-17,2011-12,Constant Price,407324.09,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2016-17,2011-12,Current Price,17365.73,2016,"Financial Year (Apr - Mar), 2016"
MANIPUR,2016-17,2011-12,Current Price,18276.72,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2016-17,2011-12,Current Price,1665073.81,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2016-17,2011-12,Current Price,21873.4639,2016,"Financial Year (Apr - Mar), 2016"
MIZORAM,2016-17,2011-12,Current Price,14927.7081,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2016-17,2011-12,Current Price,18697.4528,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2016-17,2011-12,Current Price,211384.0,2016,"Financial Year (Apr - Mar), 2016"
ORISSA,2016-17,2011-12,Current Price,304504.0,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2017-18,2011-12,Constant Price,889005.4812,2017,"Financial Year (Apr - Mar), 2017"
CHHATTISGARH,2017-18,2011-12,Constant Price,174041.67,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2017-18,2011-12,Current Price,21011.8707,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2017-18,2011-12,Constant Price,469758.0,2017,"Financial Year (Apr - Mar), 2017"
BIHAR,2017-18,2011-12,Current Price,420796.4602,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2017-18,2011-12,Constant Price,408949.0555,2017,"Financial Year (Apr - Mar), 2017"
CHANDIGARH,2017-18,2011-12,Constant Price,24049.15,2017,"Financial Year (Apr - Mar), 2017"
MAHARASHTRA,2017-18,2011-12,Current Price,1792845.305,2017,"Financial Year (Apr - Mar), 2017"
BIHAR,2017-18,2011-12,Constant Price,303403.8094,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2017-18,2011-12,Current Price,38141.51,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2017-18,2011-12,Constant Price,304337.4157,2017,"Financial Year (Apr - Mar), 2017"
MAHARASHTRA,2017-18,2011-12,Constant Price,1461062.255,2017,"Financial Year (Apr - Mar), 2017"
TAMIL NADU,2017-18,2011-12,Current Price,1183470.055,2017,"Financial Year (Apr - Mar), 2017"
ANDAMAN & NICOBAR ISLANDS,2017-18,2011-12,Current Price,6727.8005,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2017-18,2011-12,Current Price,107751.9293,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2017-18,2011-12,Current Price,233267.2743,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2017-18,2011-12,Current Price,1010114.343,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2017-18,2011-12,Current Price,522631.0798,2017,"Financial Year (Apr - Mar), 2017"
ARUNACHAL PRADESH,2017-18,2011-12,Constant Price,13173.31,2017,"Financial Year (Apr - Mar), 2017"
JHARKHAND,2017-18,2011-12,Current Price,219878.2,2017,"Financial Year (Apr - Mar), 2017"
ORISSA,2017-18,2011-12,Current Price,338407.0,2017,"Financial Year (Apr - Mar), 2017"
MANIPUR,2017-18,2011-12,Constant Price,16274.86,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2017-18,2011-12,Constant Price,810458.9682,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2017-18,2011-12,Constant Price,88248.454,2017,"Financial Year (Apr - Mar), 2017"
MANIPUR,2017-18,2011-12,Current Price,22807.15,2017,"Financial Year (Apr - Mar), 2017"
PUDUCHERRY,2017-18,2011-12,Constant Price,17148.6385,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2017-18,2011-12,Constant Price,28354.74,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2017-18,2011-12,Constant Price,182149.6421,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2017-18,2011-12,Current Price,378634.3677,2017,"Financial Year (Apr - Mar), 2017"
JHARKHAND,2017-18,2011-12,Constant Price,168452.73,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2017-18,2011-12,Constant Price,417746.0298,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2017-18,2011-12,Constant Price,18322.0116,2017,"Financial Year (Apr - Mar), 2017"
SIKKIM,2017-18,2011-12,Constant Price,13857.3132,2017,"Financial Year (Apr - Mar), 2017"
ANDAMAN & NICOBAR ISLANDS,2017-18,2011-12,Constant Price,5478.3405,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2017-18,2011-12,Current Price,24355.4935,2017,"Financial Year (Apr - Mar), 2017"
MIZORAM,2017-18,2011-12,Current Price,17661.3095,2017,"Financial Year (Apr - Mar), 2017"
ARUNACHAL PRADESH,2017-18,2011-12,Current Price,19664.2,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2017-18,2011-12,Current Price,829665.5694,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2017-18,2011-12,Constant Price,516392.7938,2017,"Financial Year (Apr - Mar), 2017"
PUDUCHERRY,2017-18,2011-12,Current Price,25300.4696,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2017-18,2011-12,Constant Price,148406.0,2017,"Financial Year (Apr - Mar), 2017"
MIZORAM,2017-18,2011-12,Constant Price,13202.103,2017,"Financial Year (Apr - Mar), 2017"
CHHATTISGARH,2017-18,2011-12,Current Price,231560.62,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2017-18,2011-12,Constant Price,381946.683,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2017-18,2011-12,Current Price,699779.9213,2017,"Financial Year (Apr - Mar), 2017"
SIKKIM,2017-18,2011-12,Current Price,20855.7755,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2017-18,2011-12,Constant Price,798901.0634,2017,"Financial Year (Apr - Mar), 2017"
GOA,2017-18,2011-12,Current Price,54975.9437,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2017-18,2011-12,Current Price,617932.56,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2017-18,2011-12,Constant Price,860072.5166,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2017-18,2011-12,Constant Price,405370.84,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2017-18,2011-12,Constant Price,13645.845,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2017-18,2011-12,Constant Price,604856.582,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2017-18,2011-12,Constant Price,79417.9729,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2017-18,2011-12,Current Price,565389.2963,2017,"Financial Year (Apr - Mar), 2017"
TELANGANA,2017-18,2011-12,Current Price,609554.28,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2017-18,2011-12,Current Price,1078542.143,2017,"Financial Year (Apr - Mar), 2017"
CHANDIGARH,2017-18,2011-12,Current Price,30251.18,2017,"Financial Year (Apr - Mar), 2017"
GOA,2017-18,2011-12,Constant Price,42687.4867,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2017-18,2011-12,Current Price,1155870.104,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2017-18,2011-12,Current Price,491986.2788,2017,"Financial Year (Apr - Mar), 2017"
ORISSA,2017-18,2011-12,Constant Price,282828.0,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2017-18,2011-12,Current Price,106922.0435,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2017-18,2011-12,Current Price,178070.0,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2017-18,2011-12,Current Price,645026.6213,2017,"Financial Year (Apr - Mar), 2017"
TELANGANA,2017-18,2011-12,Constant Price,441477.46,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2018-19,2011-12,Current Price,700198.1829,2018,"Financial Year (Apr - Mar), 2018"
TELANGANA,2018-19,2011-12,Current Price,700559.7146,2018,"Financial Year (Apr - Mar), 2018"
TAMIL NADU,2018-19,2011-12,Current Price,1328281.553,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2018-19,2011-12,Constant Price,846501.2073,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2018-19,2011-12,Constant Price,320454.15,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2018-19,2011-12,Constant Price,156450.0,2018,"Financial Year (Apr - Mar), 2018"
ASSAM,2018-19,2011-12,Current Price,249436.4364,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2018-19,2011-12,Constant Price,534637.9046,2018,"Financial Year (Apr - Mar), 2018"
ORISSA,2018-19,2011-12,Current Price,388578.0,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2018-19,2011-12,Current Price,1278528.944,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2018-19,2011-12,Current Price,1201929.578,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2018-19,2011-12,Current Price,465979.2277,2018,"Financial Year (Apr - Mar), 2018"
TELANGANA,2018-19,2011-12,Constant Price,484426.6987,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2018-19,2011-12,Constant Price,14939.593,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2018-19,2011-12,Current Price,22810.6949,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2018-19,2011-12,Current Price,691049.77,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2018-19,2011-12,Current Price,410697.2302,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2018-19,2011-12,Current Price,772780.3554,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2018-19,2011-12,Constant Price,912524.8427,2018,"Financial Year (Apr - Mar), 2018"
TAMIL NADU,2018-19,2011-12,Constant Price,947106.238,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2018-19,2011-12,Current Price,21777.54,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2018-19,2011-12,Constant Price,434932.7676,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2018-19,2011-12,Current Price,42990.36,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2018-19,2011-12,Constant Price,444126.7194,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2018-19,2011-12,Constant Price,31146.87,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2018-19,2011-12,Current Price,118967.8922,2018,"Financial Year (Apr - Mar), 2018"
DELHI,2018-19,2011-12,Current Price,583363.4308,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2018-19,2011-12,Constant Price,404410.1198,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2018-19,2011-12,Current Price,253545.51,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2018-19,2011-12,Current Price,544863.1701,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2018-19,2011-12,Constant Price,85479.4478,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2018-19,2011-12,Constant Price,428793.98,2018,"Financial Year (Apr - Mar), 2018"
GOA,2018-19,2011-12,Constant Price,47469.6735,2018,"Financial Year (Apr - Mar), 2018"
CHANDIGARH,2018-19,2011-12,Current Price,32988.52,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2018-19,2011-12,Current Price,26672.9151,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2018-19,2011-12,Constant Price,189815.75,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2018-19,2011-12,Current Price,1965230.25,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2018-19,2011-12,Constant Price,13931.25,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2018-19,2011-12,Constant Price,93507.7389,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2018-19,2011-12,Constant Price,1541359.089,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2018-19,2011-12,Constant Price,331154.6513,2018,"Financial Year (Apr - Mar), 2018"
ANDAMAN & NICOBAR ISLANDS,2018-19,2011-12,Current Price,7396.2519,2018,"Financial Year (Apr - Mar), 2018"
PUDUCHERRY,2018-19,2011-12,Constant Price,21499.3033,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2018-19,2011-12,Current Price,1139974.453,2018,"Financial Year (Apr - Mar), 2018"
MANIPUR,2018-19,2011-12,Constant Price,16509.29,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2018-19,2011-12,Constant Price,186046.36,2018,"Financial Year (Apr - Mar), 2018"
ASSAM,2018-19,2011-12,Constant Price,182508.3485,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2018-19,2011-12,Constant Price,19340.4963,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2018-19,2011-12,Current Price,18648.9804,2018,"Financial Year (Apr - Mar), 2018"
MANIPUR,2018-19,2011-12,Current Price,24411.42,2018,"Financial Year (Apr - Mar), 2018"
CHANDIGARH,2018-19,2011-12,Constant Price,25019.9,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2018-19,2011-12,Current Price,23353.1069,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2018-19,2011-12,Constant Price,13236.7125,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2018-19,2011-12,Current Price,929278.3356,2018,"Financial Year (Apr - Mar), 2018"
PUDUCHERRY,2018-19,2011-12,Current Price,30557.3174,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2018-19,2011-12,Current Price,260149.68,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2018-19,2011-12,Constant Price,489140.0,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2018-19,2011-12,Constant Price,14597.5229,2018,"Financial Year (Apr - Mar), 2018"
