srcStateName,srcYear,Base Year - 2011-12,Price type,Net State Domestic Product ( NSDP ) at factor cost for the base year 2011-12,YearCode,Year
KARNATAKA,2011-12,2011-12,Constant Price,501156.036,2011,"Financial Year (Apr - Mar), 2011"
MEGHALAYA,2011-12,2011-12,Current Price,17032.0983,2011,"Financial Year (Apr - Mar), 2011"
JHARKHAND,2011-12,2011-12,Constant Price,125595.47,2011,"Financial Year (Apr - Mar), 2011"
MADHYA PRADESH,2011-12,2011-12,Current Price,270498.0,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2011-12,2011-12,Current Price,226372.95,2011,"Financial Year (Apr - Mar), 2011"
ORISSA,2011-12,2011-12,Current Price,193470.5645,2011,"Financial Year (Apr - Mar), 2011"
PUNJAB,2012-13,2011-12,Current Price,250220.49,2012,"Financial Year (Apr - Mar), 2012"
ORISSA,2012-13,2011-12,Current Price,220775.8257,2012,"Financial Year (Apr - Mar), 2012"
NAGALAND,2012-13,2011-12,Current Price,12209.3235,2012,"Financial Year (Apr - Mar), 2012"
CHHATTISGARH,2012-13,2011-12,Current Price,148053.4137,2012,"Financial Year (Apr - Mar), 2012"
MIZORAM,2012-13,2011-12,Current Price,7526.71,2012,"Financial Year (Apr - Mar), 2012"
MEGHALAYA,2012-13,2011-12,Current Price,18519.1763,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2012-13,2011-12,Current Price,12169.5376,2012,"Financial Year (Apr - Mar), 2012"
MAHARASHTRA,2012-13,2011-12,Current Price,1117592.778,2012,"Financial Year (Apr - Mar), 2012"
WEST BENGAL,2012-13,2011-12,Constant Price,470888.0,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2012-13,2011-12,Constant Price,309967.72,2012,"Financial Year (Apr - Mar), 2012"
UTTARAKHAND,2012-13,2011-12,Constant Price,101922.0,2012,"Financial Year (Apr - Mar), 2012"
