srcStateName,Base Year - 2011-12,srcYear,Price type,Per capita net state domestic product for the base year 2011-12,YearCode,Year
CHHATTISGARH,2011-12,2011-12,Current Prices,55176.82,2011,"Financial Year (Apr - Mar), 2011"
ASSAM,2011-12,2011-12,Constant Prices,41141.86,2011,"Financial Year (Apr - Mar), 2011"
KERALA,2011-12,2012-13,Current Prices,110313.73,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2011-12,2012-13,Constant Prices,22201.33,2012,"Financial Year (Apr - Mar), 2012"
RAJASTHAN,2011-12,2012-13,Current Prices,63658.00,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2011-12,2012-13,Current Prices,41230.32,2012,"Financial Year (Apr - Mar), 2012"
WEST BENGAL,2011-12,2012-13,Constant Prices,53157.00,2012,"Financial Year (Apr - Mar), 2012"
BIHAR,2011-12,2012-13,Current Prices,24487.15,2012,"Financial Year (Apr - Mar), 2012"
PUDUCHERRY,2011-12,2012-13,Current Prices,130548.35,2012,"Financial Year (Apr - Mar), 2012"
HARYANA,2011-12,2012-13,Current Prices,121268.82,2012,"Financial Year (Apr - Mar), 2012"
ORISSA,2011-12,2012-13,Constant Prices,51086.70,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2011-12,2012-13,Constant Prices,44175.81,2012,"Financial Year (Apr - Mar), 2012"
MANIPUR,2011-12,2012-13,Constant Prices,38953.60,2012,"Financial Year (Apr - Mar), 2012"
NAGALAND,2011-12,2012-13,Current Prices,61224.67,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2011-12,2012-13,Current Prices,82626.00,2012,"Financial Year (Apr - Mar), 2012"
JHARKHAND,2011-12,2012-13,Current Prices,47360.00,2012,"Financial Year (Apr - Mar), 2012"
UTTAR PRADESH,2011-12,2012-13,Current Prices,35812.12,2012,"Financial Year (Apr - Mar), 2012"
MAHARASHTRA,2011-12,2012-13,Current Prices,112092.37,2012,"Financial Year (Apr - Mar), 2012"
NAGALAND,2011-12,2012-13,Constant Prices,55482.19,2012,"Financial Year (Apr - Mar), 2012"
TAMIL NADU,2011-12,2012-13,Current Prices,105340.00,2012,"Financial Year (Apr - Mar), 2012"
GOA,2011-12,2012-13,Constant Prices,220019.33,2012,"Financial Year (Apr - Mar), 2012"
PUDUCHERRY,2011-12,2012-13,Constant Prices,119195.77,2012,"Financial Year (Apr - Mar), 2012"
HIMACHAL PRADESH,2011-12,2012-13,Constant Prices,92672.40,2012,"Financial Year (Apr - Mar), 2012"
WEST BENGAL,2011-12,2012-13,Current Prices,58195.00,2012,"Financial Year (Apr - Mar), 2012"
MIZORAM,2011-12,2012-13,Current Prices,65012.99,2012,"Financial Year (Apr - Mar), 2012"
GOA,2011-12,2012-13,Current Prices,234354.35,2012,"Financial Year (Apr - Mar), 2012"
SIKKIM,2011-12,2012-13,Constant Prices,160553.00,2012,"Financial Year (Apr - Mar), 2012"
ANDAMAN & NICOBAR ISLANDS,2011-12,2012-13,Current Prices,98777.00,2012,"Financial Year (Apr - Mar), 2012"
MIZORAM,2011-12,2012-13,Constant Prices,60261.41,2012,"Financial Year (Apr - Mar), 2012"
GUJARAT,2011-12,2012-13,Constant Prices,96682.84,2012,"Financial Year (Apr - Mar), 2012"
MAHARASHTRA,2011-12,2012-13,Constant Prices,104008.43,2012,"Financial Year (Apr - Mar), 2012"
MEGHALAYA,2011-12,2012-13,Current Prices,64035.63,2012,"Financial Year (Apr - Mar), 2012"
ARUNACHAL PRADESH,2011-12,2012-13,Constant Prices,73959.03,2012,"Financial Year (Apr - Mar), 2012"
CHHATTISGARH,2011-12,2012-13,Constant Prices,56776.57,2012,"Financial Year (Apr - Mar), 2012"
KARNATAKA,2011-12,2012-13,Constant Prices,94375.25,2012,"Financial Year (Apr - Mar), 2012"
TRIPURA,2011-12,2012-13,Constant Prices,50501.00,2012,"Financial Year (Apr - Mar), 2012"
ASSAM,2011-12,2012-13,Constant Prices,41609.39,2012,"Financial Year (Apr - Mar), 2012"
MADHYA PRADESH,2011-12,2012-13,Current Prices,44773.00,2012,"Financial Year (Apr - Mar), 2012"
CHANDIGARH,2011-12,2012-13,Constant Prices,169335.68,2012,"Financial Year (Apr - Mar), 2012"
GUJARAT,2011-12,2012-13,Current Prices,102826.24,2012,"Financial Year (Apr - Mar), 2012"
KARNATAKA,2011-12,2012-13,Current Prices,102319.16,2012,"Financial Year (Apr - Mar), 2012"
MEGHALAYA,2011-12,2012-13,Constant Prices,59703.11,2012,"Financial Year (Apr - Mar), 2012"
CHANDIGARH,2011-12,2012-13,Current Prices,180457.08,2012,"Financial Year (Apr - Mar), 2012"
HIMACHAL PRADESH,2011-12,2012-13,Current Prices,99730.36,2012,"Financial Year (Apr - Mar), 2012"
MADHYA PRADESH,2011-12,2012-13,Constant Prices,41141.98,2012,"Financial Year (Apr - Mar), 2012"
RAJASTHAN,2011-12,2012-13,Constant Prices,58441.00,2012,"Financial Year (Apr - Mar), 2012"
KERALA,2011-12,2012-13,Constant Prices,103550.76,2012,"Financial Year (Apr - Mar), 2012"
ANDAMAN & NICOBAR ISLANDS,2011-12,2012-13,Constant Prices,92643.89,2012,"Financial Year (Apr - Mar), 2012"
TRIPURA,2011-12,2012-13,Current Prices,52574.00,2012,"Financial Year (Apr - Mar), 2012"
JAMMU & KASHMIR,2011-12,2012-13,Constant Prices,52406.04,2012,"Financial Year (Apr - Mar), 2012"
TAMIL NADU,2011-12,2012-13,Constant Prices,97257.00,2012,"Financial Year (Apr - Mar), 2012"
UTTARAKHAND,2011-12,2012-13,Current Prices,113654.00,2012,"Financial Year (Apr - Mar), 2012"
CHHATTISGARH,2011-12,2012-13,Current Prices,60849.36,2012,"Financial Year (Apr - Mar), 2012"
DELHI,2011-12,2012-13,Constant Prices,192219.77,2012,"Financial Year (Apr - Mar), 2012"
