srcStateName,Base Year - 2011-12,srcYear,Price type,Per capita net state domestic product for the base year 2011-12,YearCode,Year
ANDAMAN & NICOBAR ISLANDS,2011-12,2015-16,Constant Prices,114660.18,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2011-12,2015-16,Constant Prices,116813.07,2015,"Financial Year (Apr - Mar), 2015"
ARUNACHAL PRADESH,2011-12,2015-16,Current Prices,116985.00,2015,"Financial Year (Apr - Mar), 2015"
BIHAR,2011-12,2015-16,Current Prices,30403.87,2015,"Financial Year (Apr - Mar), 2015"
UTTARAKHAND,2011-12,2015-16,Constant Prices,127249.17,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2011-12,2015-16,Constant Prices,91844.83,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2011-12,2015-16,Current Prices,83426.00,2015,"Financial Year (Apr - Mar), 2015"
PUDUCHERRY,2011-12,2015-16,Constant Prices,120999.75,2015,"Financial Year (Apr - Mar), 2015"
GUJARAT,2011-12,2015-16,Constant Prices,120683.38,2015,"Financial Year (Apr - Mar), 2015"
MAHARASHTRA,2011-12,2015-16,Current Prices,146814.85,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2011-12,2015-16,Constant Prices,50641.57,2015,"Financial Year (Apr - Mar), 2015"
ORISSA,2011-12,2015-16,Constant Prices,58838.00,2015,"Financial Year (Apr - Mar), 2015"
JHARKHAND,2011-12,2015-16,Constant Prices,44524.49,2015,"Financial Year (Apr - Mar), 2015"
PUDUCHERRY,2011-12,2015-16,Current Prices,172726.75,2015,"Financial Year (Apr - Mar), 2015"
KERALA,2011-12,2015-16,Current Prices,148132.63,2015,"Financial Year (Apr - Mar), 2015"
MIZORAM,2011-12,2015-16,Current Prices,114054.64,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2011-12,2015-16,Current Prices,72991.16,2015,"Financial Year (Apr - Mar), 2015"
NAGALAND,2011-12,2015-16,Current Prices,82465.67,2015,"Financial Year (Apr - Mar), 2015"
GOA,2011-12,2015-16,Current Prices,334576.10,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2011-12,2011-12,Constant Prices,69000.00,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,2011-12,Current Prices,69000.00,2011,"Financial Year (Apr - Mar), 2011"
ANDHRA PRADESH,2011-12,2012-13,Constant Prices,68865.00,2012,"Financial Year (Apr - Mar), 2012"
ANDHRA PRADESH,2011-12,2012-13,Current Prices,74687.00,2012,"Financial Year (Apr - Mar), 2012"
ANDHRA PRADESH,2011-12,2013-14,Current Prices,82870.00,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2011-12,2013-14,Constant Prices,72254.00,2013,"Financial Year (Apr - Mar), 2013"
ANDHRA PRADESH,2011-12,2014-15,Constant Prices,79174.00,2014,"Financial Year (Apr - Mar), 2014"
ANDHRA PRADESH,2011-12,2014-15,Current Prices,93903.00,2014,"Financial Year (Apr - Mar), 2014"
HIMACHAL PRADESH,2011-12,2015-16,Constant Prices,112722.70,2015,"Financial Year (Apr - Mar), 2015"
JHARKHAND,2011-12,2015-16,Current Prices,52754.00,2015,"Financial Year (Apr - Mar), 2015"
GOA,2011-12,2015-16,Constant Prices,278600.95,2015,"Financial Year (Apr - Mar), 2015"
TRIPURA,2011-12,2015-16,Constant Prices,61612.00,2015,"Financial Year (Apr - Mar), 2015"
WEST BENGAL,2011-12,2015-16,Current Prices,75992.00,2015,"Financial Year (Apr - Mar), 2015"
UTTARAKHAND,2011-12,2015-16,Current Prices,147936.00,2015,"Financial Year (Apr - Mar), 2015"
NAGALAND,2011-12,2015-16,Constant Prices,60662.97,2015,"Financial Year (Apr - Mar), 2015"
TAMIL NADU,2011-12,2015-16,Current Prices,142028.00,2015,"Financial Year (Apr - Mar), 2015"
ANDAMAN & NICOBAR ISLANDS,2011-12,2015-16,Current Prices,137064.00,2015,"Financial Year (Apr - Mar), 2015"
TRIPURA,2011-12,2015-16,Current Prices,84267.00,2015,"Financial Year (Apr - Mar), 2015"
RAJASTHAN,2011-12,2015-16,Constant Prices,68565.00,2015,"Financial Year (Apr - Mar), 2015"
JAMMU & KASHMIR,2011-12,2015-16,Current Prices,73215.42,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2011-12,2015-16,Constant Prices,46388.67,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2011-12,2015-16,Constant Prices,88609.00,2015,"Financial Year (Apr - Mar), 2015"
DELHI,2011-12,2015-16,Current Prices,270261.15,2015,"Financial Year (Apr - Mar), 2015"
HARYANA,2011-12,2015-16,Current Prices,164962.65,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2011-12,2015-16,Current Prices,62080.00,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2011-12,2015-16,Constant Prices,36972.75,2015,"Financial Year (Apr - Mar), 2015"
KARNATAKA,2011-12,2015-16,Current Prices,148107.72,2015,"Financial Year (Apr - Mar), 2015"
UTTAR PRADESH,2011-12,2015-16,Current Prices,47118.01,2015,"Financial Year (Apr - Mar), 2015"
JAMMU & KASHMIR,2011-12,2015-16,Constant Prices,59967.50,2015,"Financial Year (Apr - Mar), 2015"
MANIPUR,2011-12,2015-16,Current Prices,55447.40,2015,"Financial Year (Apr - Mar), 2015"
TELANGANA,2011-12,2011-12,Constant Prices,91121.39,2011,"Financial Year (Apr - Mar), 2011"
PUDUCHERRY,2011-12,2011-12,Current Prices,119649.25,2011,"Financial Year (Apr - Mar), 2011"
TELANGANA,2011-12,2011-12,Current Prices,91121.39,2011,"Financial Year (Apr - Mar), 2011"
TELANGANA,2011-12,2012-13,Current Prices,101007.16,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2011-12,2012-13,Constant Prices,92731.61,2012,"Financial Year (Apr - Mar), 2012"
TELANGANA,2011-12,2013-14,Constant Prices,96039.30,2013,"Financial Year (Apr - Mar), 2013"
TELANGANA,2011-12,2013-14,Current Prices,112162.22,2013,"Financial Year (Apr - Mar), 2013"
TELANGANA,2011-12,2014-15,Constant Prices,101424.34,2014,"Financial Year (Apr - Mar), 2014"
TELANGANA,2011-12,2014-15,Current Prices,124103.78,2014,"Financial Year (Apr - Mar), 2014"
TELANGANA,2011-12,2015-16,Current Prices,140839.76,2015,"Financial Year (Apr - Mar), 2015"
CHHATTISGARH,2011-12,2015-16,Constant Prices,61433.33,2015,"Financial Year (Apr - Mar), 2015"
MADHYA PRADESH,2011-12,2015-16,Constant Prices,47350.99,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2011-12,2015-16,Current Prices,118858.00,2015,"Financial Year (Apr - Mar), 2015"
HARYANA,2011-12,2015-16,Constant Prices,137832.66,2015,"Financial Year (Apr - Mar), 2015"
CHANDIGARH,2011-12,2015-16,Constant Prices,195204.96,2015,"Financial Year (Apr - Mar), 2015"
WEST BENGAL,2011-12,2015-16,Constant Prices,57255.00,2015,"Financial Year (Apr - Mar), 2015"
ASSAM,2011-12,2015-16,Current Prices,60816.53,2015,"Financial Year (Apr - Mar), 2015"
SIKKIM,2011-12,2015-16,Current Prices,245987.00,2015,"Financial Year (Apr - Mar), 2015"
MAHARASHTRA,2011-12,2015-16,Constant Prices,122889.19,2015,"Financial Year (Apr - Mar), 2015"
MEGHALAYA,2011-12,2015-16,Constant Prices,56038.63,2015,"Financial Year (Apr - Mar), 2015"
PUNJAB,2011-12,2015-16,Constant Prices,100141.00,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2011-12,2015-16,Current Prices,108002.00,2015,"Financial Year (Apr - Mar), 2015"
TELANGANA,2011-12,2015-16,Constant Prices,112267.03,2015,"Financial Year (Apr - Mar), 2015"
GUJARAT,2011-12,2015-16,Current Prices,139253.97,2015,"Financial Year (Apr - Mar), 2015"
ANDHRA PRADESH,2011-12,2016-17,Constant Prices,94114.57,2016,"Financial Year (Apr - Mar), 2016"
DELHI,2011-12,2016-17,Constant Prices,244254.62,2016,"Financial Year (Apr - Mar), 2016"
CHANDIGARH,2011-12,2016-17,Constant Prices,208230.57,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2011-12,2016-17,Current Prices,83285.00,2016,"Financial Year (Apr - Mar), 2016"
JAMMU & KASHMIR,2011-12,2016-17,Current Prices,76633.96,2016,"Financial Year (Apr - Mar), 2016"
JAMMU & KASHMIR,2011-12,2016-17,Constant Prices,60556.74,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2011-12,2016-17,Constant Prices,133686.29,2016,"Financial Year (Apr - Mar), 2016"
TRIPURA,2011-12,2016-17,Constant Prices,69860.00,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2011-12,2016-17,Current Prices,150290.00,2016,"Financial Year (Apr - Mar), 2016"
TELANGANA,2011-12,2016-17,Current Prices,159395.24,2016,"Financial Year (Apr - Mar), 2016"
MAHARASHTRA,2011-12,2016-17,Current Prices,163726.04,2016,"Financial Year (Apr - Mar), 2016"
DELHI,2011-12,2016-17,Current Prices,295558.05,2016,"Financial Year (Apr - Mar), 2016"
HIMACHAL PRADESH,2011-12,2016-17,Constant Prices,122208.00,2016,"Financial Year (Apr - Mar), 2016"
MANIPUR,2011-12,2016-17,Constant Prices,47150.81,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2011-12,2016-17,Current Prices,161752.00,2016,"Financial Year (Apr - Mar), 2016"
ANDAMAN & NICOBAR ISLANDS,2011-12,2016-17,Current Prices,153904.00,2016,"Financial Year (Apr - Mar), 2016"
CHHATTISGARH,2011-12,2016-17,Constant Prices,67139.00,2016,"Financial Year (Apr - Mar), 2016"
MANIPUR,2011-12,2016-17,Current Prices,59345.11,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2011-12,2016-17,Constant Prices,53575.08,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2011-12,2016-17,Current Prices,184982.00,2016,"Financial Year (Apr - Mar), 2016"
HARYANA,2011-12,2016-17,Constant Prices,150259.12,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2011-12,2016-17,Constant Prices,57751.75,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2011-12,2016-17,Current Prices,156294.97,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2011-12,2016-17,Constant Prices,207354.64,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2011-12,2016-17,Current Prices,124129.38,2016,"Financial Year (Apr - Mar), 2016"
MEGHALAYA,2011-12,2016-17,Current Prices,73753.23,2016,"Financial Year (Apr - Mar), 2016"
ANDHRA PRADESH,2011-12,2016-17,Current Prices,120676.50,2016,"Financial Year (Apr - Mar), 2016"
PUDUCHERRY,2011-12,2016-17,Constant Prices,126556.33,2016,"Financial Year (Apr - Mar), 2016"
ANDAMAN & NICOBAR ISLANDS,2011-12,2016-17,Constant Prices,129532.24,2016,"Financial Year (Apr - Mar), 2016"
MIZORAM,2011-12,2016-17,Constant Prices,99088.74,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2011-12,2016-17,Constant Prices,123205.77,2016,"Financial Year (Apr - Mar), 2016"
GUJARAT,2011-12,2016-17,Constant Prices,129737.63,2016,"Financial Year (Apr - Mar), 2016"
MIZORAM,2011-12,2016-17,Current Prices,127107.23,2016,"Financial Year (Apr - Mar), 2016"
UTTARAKHAND,2011-12,2016-17,Constant Prices,138784.45,2016,"Financial Year (Apr - Mar), 2016"
GOA,2011-12,2016-17,Current Prices,378952.86,2016,"Financial Year (Apr - Mar), 2016"
GOA,2011-12,2016-17,Constant Prices,305875.20,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2011-12,2016-17,Constant Prices,64258.67,2016,"Financial Year (Apr - Mar), 2016"
PUDUCHERRY,2011-12,2016-17,Current Prices,187356.50,2016,"Financial Year (Apr - Mar), 2016"
NAGALAND,2011-12,2016-17,Current Prices,91347.46,2016,"Financial Year (Apr - Mar), 2016"
TAMIL NADU,2011-12,2016-17,Current Prices,156595.09,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2011-12,2016-17,Current Prices,60018.00,2016,"Financial Year (Apr - Mar), 2016"
WEST BENGAL,2011-12,2016-17,Current Prices,82291.00,2016,"Financial Year (Apr - Mar), 2016"
ORISSA,2011-12,2016-17,Constant Prices,67851.12,2016,"Financial Year (Apr - Mar), 2016"
JHARKHAND,2011-12,2016-17,Constant Prices,48826.00,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2011-12,2016-17,Current Prices,34044.90,2016,"Financial Year (Apr - Mar), 2016"
ORISSA,2011-12,2016-17,Current Prices,79181.00,2016,"Financial Year (Apr - Mar), 2016"
BIHAR,2011-12,2016-17,Constant Prices,25455.42,2016,"Financial Year (Apr - Mar), 2016"
TELANGANA,2011-12,2016-17,Constant Prices,121512.09,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2011-12,2016-17,Current Prices,280729.07,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2011-12,2016-17,Constant Prices,105848.46,2016,"Financial Year (Apr - Mar), 2016"
ASSAM,2011-12,2016-17,Current Prices,66329.60,2016,"Financial Year (Apr - Mar), 2016"
WEST BENGAL,2011-12,2016-17,Constant Prices,60618.00,2016,"Financial Year (Apr - Mar), 2016"
PUNJAB,2011-12,2016-17,Current Prices,128780.47,2016,"Financial Year (Apr - Mar), 2016"
UTTAR PRADESH,2011-12,2016-17,Current Prices,52671.00,2016,"Financial Year (Apr - Mar), 2016"
UTTAR PRADESH,2011-12,2016-17,Constant Prices,40847.02,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2011-12,2016-17,Constant Prices,71323.96,2016,"Financial Year (Apr - Mar), 2016"
TRIPURA,2011-12,2016-17,Current Prices,91596.00,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2011-12,2016-17,Current Prices,166245.88,2016,"Financial Year (Apr - Mar), 2016"
ARUNACHAL PRADESH,2011-12,2016-17,Constant Prices,91318.54,2016,"Financial Year (Apr - Mar), 2016"
CHANDIGARH,2011-12,2016-17,Current Prices,252236.21,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2011-12,2016-17,Constant Prices,52781.51,2016,"Financial Year (Apr - Mar), 2016"
KERALA,2011-12,2016-17,Constant Prices,129250.63,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2011-12,2016-17,Current Prices,169898.00,2016,"Financial Year (Apr - Mar), 2016"
MADHYA PRADESH,2011-12,2016-17,Current Prices,74324.14,2016,"Financial Year (Apr - Mar), 2016"
RAJASTHAN,2011-12,2016-17,Current Prices,91924.00,2016,"Financial Year (Apr - Mar), 2016"
KARNATAKA,2011-12,2016-17,Constant Prices,131186.39,2016,"Financial Year (Apr - Mar), 2016"
SIKKIM,2011-12,2017-18,Current Prices,349162.77,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2011-12,2017-18,Current Prices,77504.17,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2011-12,2017-18,Constant Prices,103177.38,2017,"Financial Year (Apr - Mar), 2017"
BIHAR,2011-12,2017-18,Constant Prices,26719.30,2017,"Financial Year (Apr - Mar), 2017"
MAHARASHTRA,2011-12,2017-18,Constant Prices,139957.71,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2011-12,2017-18,Constant Prices,57834.93,2017,"Financial Year (Apr - Mar), 2017"
PUDUCHERRY,2011-12,2017-18,Constant Prices,134869.67,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2011-12,2017-18,Constant Prices,110857.49,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2011-12,2017-18,Constant Prices,252960.08,2017,"Financial Year (Apr - Mar), 2017"
SIKKIM,2011-12,2017-18,Constant Prices,232482.55,2017,"Financial Year (Apr - Mar), 2017"
MEGHALAYA,2011-12,2017-18,Constant Prices,58493.07,2017,"Financial Year (Apr - Mar), 2017"
ARUNACHAL PRADESH,2011-12,2017-18,Current Prices,138835.85,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2011-12,2017-18,Constant Prices,137181.18,2017,"Financial Year (Apr - Mar), 2017"
ASSAM,2011-12,2017-18,Current Prices,75151.47,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2011-12,2017-18,Constant Prices,158039.43,2017,"Financial Year (Apr - Mar), 2017"
ARUNACHAL PRADESH,2011-12,2017-18,Constant Prices,94012.69,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2011-12,2017-18,Constant Prices,64007.02,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2011-12,2017-18,Current Prices,139834.64,2017,"Financial Year (Apr - Mar), 2017"
CHANDIGARH,2011-12,2017-18,Constant Prices,218200.69,2017,"Financial Year (Apr - Mar), 2017"
HARYANA,2011-12,2017-18,Current Prices,210592.34,2017,"Financial Year (Apr - Mar), 2017"
TAMIL NADU,2011-12,2017-18,Constant Prices,133028.55,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2011-12,2017-18,Current Prices,56861.18,2017,"Financial Year (Apr - Mar), 2017"
CHHATTISGARH,2011-12,2017-18,Current Prices,89690.27,2017,"Financial Year (Apr - Mar), 2017"
MANIPUR,2011-12,2017-18,Current Prices,71507.30,2017,"Financial Year (Apr - Mar), 2017"
ANDAMAN & NICOBAR ISLANDS,2011-12,2017-18,Current Prices,178709.00,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2011-12,2017-18,Current Prices,98188.45,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2011-12,2017-18,Constant Prices,129303.16,2017,"Financial Year (Apr - Mar), 2017"
RAJASTHAN,2011-12,2017-18,Constant Prices,73108.96,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2011-12,2017-18,Current Prices,81972.75,2017,"Financial Year (Apr - Mar), 2017"
MANIPUR,2011-12,2017-18,Constant Prices,51210.76,2017,"Financial Year (Apr - Mar), 2017"
TAMIL NADU,2011-12,2017-18,Current Prices,175275.51,2017,"Financial Year (Apr - Mar), 2017"
UTTAR PRADESH,2011-12,2017-18,Constant Prices,41832.21,2017,"Financial Year (Apr - Mar), 2017"
TELANGANA,2011-12,2017-18,Current Prices,179358.33,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2011-12,2017-18,Constant Prices,141229.35,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2011-12,2017-18,Current Prices,100444.01,2017,"Financial Year (Apr - Mar), 2017"
KERALA,2011-12,2017-18,Current Prices,183251.67,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2011-12,2017-18,Current Prices,84470.62,2017,"Financial Year (Apr - Mar), 2017"
GOA,2011-12,2017-18,Constant Prices,308296.31,2017,"Financial Year (Apr - Mar), 2017"
PUDUCHERRY,2011-12,2017-18,Current Prices,198364.35,2017,"Financial Year (Apr - Mar), 2017"
TRIPURA,2011-12,2017-18,Constant Prices,75019.53,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2011-12,2017-18,Current Prices,180613.00,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2011-12,2017-18,Constant Prices,66813.36,2017,"Financial Year (Apr - Mar), 2017"
GOA,2011-12,2017-18,Current Prices,411739.84,2017,"Financial Year (Apr - Mar), 2017"
NAGALAND,2011-12,2017-18,Current Prices,102003.25,2017,"Financial Year (Apr - Mar), 2017"
MAHARASHTRA,2011-12,2017-18,Current Prices,172663.12,2017,"Financial Year (Apr - Mar), 2017"
ANDHRA PRADESH,2011-12,2017-18,Current Prices,138298.65,2017,"Financial Year (Apr - Mar), 2017"
CHHATTISGARH,2011-12,2017-18,Constant Prices,68374.16,2017,"Financial Year (Apr - Mar), 2017"
DELHI,2011-12,2017-18,Current Prices,318323.08,2017,"Financial Year (Apr - Mar), 2017"
JHARKHAND,2011-12,2017-18,Current Prices,67483.91,2017,"Financial Year (Apr - Mar), 2017"
MIZORAM,2011-12,2017-18,Current Prices,155222.29,2017,"Financial Year (Apr - Mar), 2017"
HIMACHAL PRADESH,2011-12,2017-18,Current Prices,165496.90,2017,"Financial Year (Apr - Mar), 2017"
WEST BENGAL,2011-12,2017-18,Current Prices,91400.96,2017,"Financial Year (Apr - Mar), 2017"
UTTARAKHAND,2011-12,2017-18,Constant Prices,148090.47,2017,"Financial Year (Apr - Mar), 2017"
ORISSA,2011-12,2017-18,Constant Prices,72922.46,2017,"Financial Year (Apr - Mar), 2017"
KARNATAKA,2011-12,2017-18,Current Prices,186404.79,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2011-12,2017-18,Constant Prices,143604.44,2017,"Financial Year (Apr - Mar), 2017"
ANDAMAN & NICOBAR ISLANDS,2011-12,2017-18,Constant Prices,145561.66,2017,"Financial Year (Apr - Mar), 2017"
CHANDIGARH,2011-12,2017-18,Current Prices,280512.17,2017,"Financial Year (Apr - Mar), 2017"
JHARKHAND,2011-12,2017-18,Constant Prices,52276.67,2017,"Financial Year (Apr - Mar), 2017"
MIZORAM,2011-12,2017-18,Constant Prices,117271.60,2017,"Financial Year (Apr - Mar), 2017"
JAMMU & KASHMIR,2011-12,2017-18,Constant Prices,63195.27,2017,"Financial Year (Apr - Mar), 2017"
BIHAR,2011-12,2017-18,Current Prices,36849.78,2017,"Financial Year (Apr - Mar), 2017"
TELANGANA,2011-12,2017-18,Constant Prices,131502.72,2017,"Financial Year (Apr - Mar), 2017"
ORISSA,2011-12,2017-18,Current Prices,89353.00,2017,"Financial Year (Apr - Mar), 2017"
MADHYA PRADESH,2011-12,2017-18,Constant Prices,54829.49,2017,"Financial Year (Apr - Mar), 2017"
GUJARAT,2011-12,2017-18,Current Prices,176961.39,2017,"Financial Year (Apr - Mar), 2017"
PUNJAB,2011-12,2018-19,Current Prices,149973.97,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2011-12,2018-19,Constant Prices,107286.46,2018,"Financial Year (Apr - Mar), 2018"
ANDHRA PRADESH,2011-12,2018-19,Current Prices,152285.70,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2011-12,2018-19,Constant Prices,99241.91,2018,"Financial Year (Apr - Mar), 2018"
ARUNACHAL PRADESH,2011-12,2018-19,Current Prices,154651.60,2018,"Financial Year (Apr - Mar), 2018"
ASSAM,2011-12,2018-19,Constant Prices,59942.89,2018,"Financial Year (Apr - Mar), 2018"
ASSAM,2011-12,2018-19,Current Prices,81033.70,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2011-12,2018-19,Constant Prices,29091.70,2018,"Financial Year (Apr - Mar), 2018"
BIHAR,2011-12,2018-19,Current Prices,40714.92,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2011-12,2018-19,Constant Prices,56132.72,2018,"Financial Year (Apr - Mar), 2018"
JHARKHAND,2011-12,2018-19,Current Prices,75421.47,2018,"Financial Year (Apr - Mar), 2018"
GOA,2011-12,2018-19,Constant Prices,337031.34,2018,"Financial Year (Apr - Mar), 2018"
GOA,2011-12,2018-19,Current Prices,423715.66,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2011-12,2018-19,Constant Prices,154887.25,2018,"Financial Year (Apr - Mar), 2018"
GUJARAT,2011-12,2018-19,Current Prices,197456.87,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2011-12,2018-19,Constant Prices,164975.88,2018,"Financial Year (Apr - Mar), 2018"
HARYANA,2011-12,2018-19,Current Prices,226408.54,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2011-12,2018-19,Constant Prices,136663.60,2018,"Financial Year (Apr - Mar), 2018"
HIMACHAL PRADESH,2011-12,2018-19,Current Prices,176458.99,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2011-12,2018-19,Constant Prices,67696.51,2018,"Financial Year (Apr - Mar), 2018"
JAMMU & KASHMIR,2011-12,2018-19,Current Prices,95447.90,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2011-12,2018-19,Constant Prices,148690.29,2018,"Financial Year (Apr - Mar), 2018"
KARNATAKA,2011-12,2018-19,Current Prices,205697.10,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2011-12,2018-19,Constant Prices,145521.06,2018,"Financial Year (Apr - Mar), 2018"
KERALA,2011-12,2018-19,Current Prices,205657.23,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2011-12,2018-19,Constant Prices,57401.16,2018,"Financial Year (Apr - Mar), 2018"
MADHYA PRADESH,2011-12,2018-19,Current Prices,90486.58,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2011-12,2018-19,Constant Prices,72536.84,2018,"Financial Year (Apr - Mar), 2018"
CHHATTISGARH,2011-12,2018-19,Current Prices,98254.24,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2011-12,2018-19,Constant Prices,147097.46,2018,"Financial Year (Apr - Mar), 2018"
MAHARASHTRA,2011-12,2018-19,Current Prices,187117.76,2018,"Financial Year (Apr - Mar), 2018"
MANIPUR,2011-12,2018-19,Constant Prices,51179.70,2018,"Financial Year (Apr - Mar), 2018"
MANIPUR,2011-12,2018-19,Current Prices,75229.11,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2011-12,2018-19,Constant Prices,60131.77,2018,"Financial Year (Apr - Mar), 2018"
MEGHALAYA,2011-12,2018-19,Current Prices,82652.84,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2011-12,2018-19,Constant Prices,118794.79,2018,"Financial Year (Apr - Mar), 2018"
MIZORAM,2011-12,2018-19,Current Prices,164429.43,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2011-12,2018-19,Constant Prices,70217.83,2018,"Financial Year (Apr - Mar), 2018"
NAGALAND,2011-12,2018-19,Current Prices,109197.64,2018,"Financial Year (Apr - Mar), 2018"
ORISSA,2011-12,2018-19,Constant Prices,77530.62,2018,"Financial Year (Apr - Mar), 2018"
ORISSA,2011-12,2018-19,Current Prices,100771.00,2018,"Financial Year (Apr - Mar), 2018"
PUNJAB,2011-12,2018-19,Constant Prices,115783.63,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2011-12,2018-19,Constant Prices,75554.94,2018,"Financial Year (Apr - Mar), 2018"
RAJASTHAN,2011-12,2018-19,Current Prices,107889.77,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2011-12,2018-19,Constant Prices,240743.39,2018,"Financial Year (Apr - Mar), 2018"
SIKKIM,2011-12,2018-19,Current Prices,375772.98,2018,"Financial Year (Apr - Mar), 2018"
TAMIL NADU,2011-12,2018-19,Constant Prices,141843.85,2018,"Financial Year (Apr - Mar), 2018"
TAMIL NADU,2011-12,2018-19,Current Prices,194372.98,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2011-12,2018-19,Constant Prices,82313.49,2018,"Financial Year (Apr - Mar), 2018"
TRIPURA,2011-12,2018-19,Current Prices,113015.50,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2011-12,2018-19,Constant Prices,43670.17,2018,"Financial Year (Apr - Mar), 2018"
UTTAR PRADESH,2011-12,2018-19,Current Prices,62651.86,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2011-12,2018-19,Constant Prices,154549.15,2018,"Financial Year (Apr - Mar), 2018"
UTTARAKHAND,2011-12,2018-19,Current Prices,191450.00,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2011-12,2018-19,Constant Prices,68211.84,2018,"Financial Year (Apr - Mar), 2018"
WEST BENGAL,2011-12,2018-19,Current Prices,103943.91,2018,"Financial Year (Apr - Mar), 2018"
